KOI name	KIC	t0[BKJD]	E_t0[BKJD]	e_t0[BKJD]	P[days]	E_P[days]	e_P[days]	b	E_b	e_b	log10rhostar[kg/m^3]	E_log10rhostar[kg/m^3]	e_log10rhostar[kg/m^3]	Rp/R*	E_Rp/R*	e_Rp/R*	sqrt(e)cos(omega)	E_sqrt(e)cos(omega)	e_sqrt(e)cos(omega)	sqrt(e)sin(omega)	E_sqrt(e)sin(omega)	e_sqrt(e)sin(omega)	alpha_r	E_alpha_r	e_alpha_r	alpha_h	E_alpha_h	e_alpha_h	alpha_theta	E_alpha_theta	e_alpha_theta
124.01	11086270	137.136	0.004	0.011	12.69085	0.00025	5e-05	0.68	0.31	0.05	2.8	0.3	1.5	0.0154	0.0066	0.0005	0.25	0.04	0.01	0.1	0.06	0.03	0.87	0.02	0.02	0.58	0.04	0.03	0.3	0.01	0.17
124.02	11086270	142.833	0.008	0.004	31.71962	0.00025	5e-05	0.83	0.09	0.03	2.8	0.3	1.5	0.019	0.0886	0.0004	0.14	0.1	0.06	-0.05	0.08	0.29	0.87	0.02	0.02	0.58	0.04	0.03	0.3	0.01	0.17
153.01	12252424	139.7138	0.0005	0.0011	8.925083	2e-06	9e-06	0.98	0.04	0.01	1.95	0.05	0.02	0.11	0.02	0.03	0.03	0.02	0.02	-0.246	0.009	0.009	0.65	0.06	0.03	0.51	0.09	0.04	0.991	0.007	0.011
153.02	12252424	128.72	0.03	0.03	4.754008	2e-06	9e-06	1.06	0.04	0.06	1.95	0.05	0.02	0.08	0.04	0.05	-0.16	0.04	0.03	-0.513	0.006	0.009	0.65	0.06	0.03	0.51	0.09	0.04	0.991	0.007	0.011
678.01	7509886	172.61	0.3	0.01	6.0634	0.0001	0.0201	0.02	0.84	0.02	0.7	1.9	0.2	0.023	0.024	0.001	0.14	0.02	0.01	0.4	0.2	0.3	0.18	0.13	0.02	0.76	0.01	0.2	0.64	0.08	0.44
678.02	7509886	132.04	0.41	0.08	4.1615	0.0001	0.0201	1.0	0.01	0.23	0.7	1.9	0.2	0.02	0.03	0.02	-0.37	0.03	0.04	-0.24	0.02	0.02	0.18	0.13	0.02	0.76	0.01	0.2	0.64	0.08	0.44
708.01	9530945	171.12	0.01	0.13	17.404	0.003	0.015	0.88	0.08	0.15	3.9	0.3	0.2	0.02	0.06	0.02	0.01	0.02	0.11	0.0	0.4	0.2	0.68	0.06	0.05	0.45	0.05	0.13	0.5	0.3	0.1
708.02	9530945	176.315	0.15	0.008	7.691	0.003	0.015	0.79	0.21	0.03	3.9	0.3	0.2	0.003	0.057	0.003	-0.4	0.5	0.1	-0.24	0.09	0.09	0.68	0.06	0.05	0.45	0.05	0.13	0.5	0.3	0.1
1089.01	3247268	175.5974	0.0004	0.0004	86.67856	1e-05	2e-05	0.53	0.08	0.09	2.63	0.08	0.1	0.0876	0.0011	0.0007	0.3	0.1	0.6	0.31	0.08	0.13	0.4	0.5	0.3	0.3	0.1	0.2	0.66	0.14	0.04
1089.02	3247268	140.323	0.003	0.002	12.21829	1e-05	2e-05	1.1	0.2	0.4	2.63	0.08	0.1	0.6	0.3	0.5	0.2	0.8	0.1	-0.5	0.3	0.1	0.4	0.5	0.3	0.3	0.1	0.2	0.66	0.14	0.04
1359.01	6946199	370.48	0.03	0.02	37.1018	0.0011	0.0009	1.1	0.3	0.7	3.5	2.2	0.8	0.4	0.6	0.4	0.2	0.3	0.2	-0.6	0.5	0.4	0.5	0.4	0.4	0.4	0.3	0.4	0.3	0.2	0.2
1359.02	6946199	374.79	0.02	0.05	104.8213	0.0011	0.0009	1.0	0.2	0.5	3.5	2.2	0.8	0.09	0.24	0.02	0.3	0.5	0.3	-0.1	0.3	0.2	0.5	0.4	0.4	0.4	0.3	0.4	0.3	0.2	0.2
1779.01	9909735	134.17798	5e-05	0.00052	4.685735	3e-06	3e-06	0.3138	0.0004	0.0007	5.0355	0.0007	0.0036	0.06695	7e-05	0.00013	0.6894	0.0004	0.0009	0.00706	9e-05	0.00071	0.2489	0.001	0.0003	0.9863	0.0002	0.0007	0.9629	0.0002	0.0013
1779.02	9909735	133.36	0.0003	0.0001	11.838017	3e-06	3e-06	0.2759	0.0016	0.0003	5.0355	0.0007	0.0036	0.0723	0.0002	0.0003	0.8987	0.0006	0.0007	0.3516	0.0004	0.0006	0.2489	0.001	0.0003	0.9863	0.0002	0.0007	0.9629	0.0002	0.0013
1809.01	8240797	144.523	0.001	0.0006	13.0939	8e-06	7e-06	0.97	0.04	0.04	2.14	0.05	0.04	0.1	0.04	0.04	-0.27	0.02	0.02	-0.26	0.01	0.02	0.57	0.08	0.06	0.76	0.03	0.04	0.9	0.05	0.04
1809.02	8240797	132.695	0.002	0.001	4.915382	8e-06	7e-06	0.84	0.03	0.02	2.14	0.05	0.04	0.023	0.0007	0.0016	-0.04	0.03	0.06	-0.33	0.08	0.04	0.57	0.08	0.06	0.76	0.03	0.04	0.9	0.05	0.04
2687.01	7202957	131.96	0.07	0.22	1.717	0.016	0.003	1.0	0.5	0.1	2.9	1.2	2.0	0.1	0.4	0.1	0.0	0.1	0.1	-0.34	0.18	0.08	0.42	0.3	0.08	0.6	0.1	0.3	0.7	0.2	0.4
2687.02	7202957	136.2	0.4	0.4	8.167	0.016	0.003	1.0	0.4	0.3	2.9	1.2	2.0	0.3	0.2	0.3	-0.2	0.3	0.1	-0.2	0.4	0.4	0.42	0.3	0.08	0.6	0.1	0.3	0.7	0.2	0.4
