KOI name	KIC	t0[BKJD]	E_t0[BKJD]	e_t0[BKJD]	P[days]	E_P[days]	e_P[days]	b	E_b	e_b	log10rhostar[kg/m^3]	E_log10rhostar[kg/m^3]	e_log10rhostar[kg/m^3]	Rp/R*	E_Rp/R*	e_Rp/R*	sqrt(e)cos(omega)	E_sqrt(e)cos(omega)	e_sqrt(e)cos(omega)	sqrt(e)sin(omega)	E_sqrt(e)sin(omega)	e_sqrt(e)sin(omega)	alpha_r	E_alpha_r	e_alpha_r	alpha_h	E_alpha_h	e_alpha_h	alpha_theta	E_alpha_theta	e_alpha_theta
1.01	11446443	122.7625	0.0003	0.0006	2.47061338	1e-08	1e-08	0.79	0.01	0.01	3.3	0.07	0.03	0.129	0.001	0.001	-0.4	0.1	0.1	-0.21	0.05	0.08	0.01	0.07	0.008	0.78	0.05	0.06	0.46	0.08	0.31
5.01	8554498	132.972	0.001	0.002	4.780332	2e-06	2e-06	1.0	0.7	0.3	2.3	1.0	0.3	0.07	0.68	0.05	-0.1	0.2	0.1	-0.15	0.21	0.07	0.6	0.3	0.4	0.2	0.7	0.2	0.3	0.6	0.3
10.01	6922244	121.1195	0.0001	0.0001	3.5224985	1e-07	1e-07	0.72	0.01	0.03	2.68	0.05	0.02	0.0981	0.0003	0.0004	0.01	0.09	0.09	-0.1	0.1	0.1	0.1	0.01	0.02	0.9	0.08	0.16	0.39	0.05	0.04
17.01	10874614	121.48659	2e-05	3e-05	3.23469935	8e-08	8e-08	0.15	0.07	0.03	2.85	0.03	0.09	0.0937	0.0006	0.0002	0.0	0.1	0.2	0.1	0.1	0.2	0.56	0.05	0.02	0.8	0.1	0.3	0.594	0.028	0.007
22.01	9631995	177.25002	6e-05	6e-05	7.8914479	3e-07	3e-07	0.47	0.01	0.02	2.89	0.05	0.03	0.0967	0.0002	0.0002	0.0	0.1	0.2	-0.1	0.2	0.1	0.94	0.05	0.11	0.33	0.06	0.03	0.647	0.005	0.01
97.01	5780885	134.27692	0.00012	9e-05	4.8854886	2e-07	2e-07	0.53	0.02	0.02	2.42	0.08	0.05	0.083	0.0002	0.0002	0.01	0.08	0.09	-0.2	0.2	0.1	0.6	0.2	0.2	0.3	0.11	0.06	0.63	0.02	0.04
98.01	10264660	138.0881	0.0003	0.0006	6.7901219	7e-07	5e-07	0.61	0.04	0.04	2.21	0.1	0.06	0.0461	0.0001	0.0001	-0.0	0.2	0.2	-0.0	0.2	0.2	0.7	0.2	0.3	0.18	0.1	0.04	0.65	0.01	0.06
127.01	8359498	134.03056	5e-05	7e-05	3.5787806	1e-07	1e-07	0.42	0.07	0.04	2.97	0.09	0.07	0.0996	0.0007	0.0004	0.35	0.06	0.07	0.23	0.06	0.11	0.53	0.07	0.02	0.6	0.1	0.1	0.614	0.008	0.01
128.01	11359879	136.3294	0.0001	0.0003	4.9427833	2e-07	2e-07	0.69	0.05	0.02	2.86	0.03	0.09	0.1051	0.0003	0.0003	-0.1	0.2	0.2	0.1	0.1	0.2	0.4	0.4	0.2	0.3	0.2	0.1	0.66	0.03	0.06
131.01	7778437	133.17427	8e-05	9e-05	5.0142345	4e-07	3e-07	0.43	0.03	0.03	2.57	0.05	0.05	0.0764	0.0003	0.0003	-0.1	0.1	0.1	0.17	0.09	0.19	0.8	0.2	0.2	0.22	0.21	0.05	0.63	0.02	0.05
135.01	9818381	132.4168	0.0001	0.0002	3.0240922	1e-07	1e-07	0.66	0.03	0.02	2.83	0.04	0.05	0.0871	0.0003	0.0003	-0.1	0.2	0.1	-0.0	0.2	0.1	0.26	0.1	0.06	0.7	0.2	0.2	0.55	0.04	0.03
183.01	9651668	133.35479	3e-05	6e-05	2.68432842	5e-08	5e-08	0.35	0.02	0.02	3.09	0.05	0.07	0.126	0.0004	0.0004	-0.1	0.1	0.2	0.15	0.09	0.17	0.7	0.2	0.1	0.5	0.2	0.1	0.62	0.02	0.02
186.01	12019440	133.66907	4e-05	3e-05	3.2432598	1e-07	2e-07	0.08	0.07	0.05	3.13	0.03	0.06	0.1217	0.0005	0.0004	0.0	0.2	0.2	-0.0	0.1	0.1	0.6	0.17	0.09	0.5	0.3	0.2	0.61	0.03	0.04
188.01	5357901	133.5088	6e-05	7e-05	3.7970181	1e-07	2e-07	0.63	0.03	0.02	3.28	0.04	0.05	0.1189	0.001	0.0007	-0.0	0.1	0.1	0.0	0.1	0.2	0.2	0.1	0.1	0.8	0.1	0.2	0.56	0.04	0.09
195.01	11502867	133.63194	4e-05	4e-05	3.217519	1e-07	1e-07	0.65	0.07	0.07	3.4	0.2	0.1	0.123	0.0008	0.0009	0.05	0.05	0.02	-0.3	0.4	0.2	0.5	0.3	0.3	0.4	0.3	0.2	0.63	0.04	0.05
196.01	9410930	137.18109	5e-05	6e-05	1.85555748	6e-08	6e-08	0.61	0.04	0.05	2.99	0.11	0.09	0.1019	0.0006	0.0004	0.01	0.05	0.04	-0.3	0.2	0.1	0.5	0.3	0.3	0.5	0.4	0.2	0.63	0.03	0.08
200.01	6046540	134.3457	0.0001	0.0001	7.3407145	6e-07	7e-07	0.69	0.03	0.02	3.1	0.04	0.05	0.0911	0.0008	0.0008	0.0	0.2	0.2	0.0	0.1	0.2	0.3	0.3	0.2	0.7	0.2	0.3	0.56	0.05	0.06
204.01	9305831	133.3793	0.0008	0.0002	3.2467321	4e-07	4e-07	0.69	0.09	0.04	2.69	0.05	0.13	0.085	0.002	0.001	0.1	0.2	0.2	0.1	0.2	0.2	0.3	0.3	0.2	0.5	0.2	0.2	0.6	0.06	0.3
206.01	5728139	131.9819	0.0011	0.0002	5.334082	1e-06	1e-06	0.2	0.4	0.1	2.27	0.08	0.35	0.0654	0.0019	0.0003	0.1	0.1	0.2	0.2	0.2	0.3	0.7	0.1	0.1	0.4	0.3	0.1	0.6	0.03	0.04
254.01	5794240	171.136	0.003	0.129	2.45342	0.00429	7e-05	0.76	0.01	0.51	4.3	0.9	0.1	0.07	0.01	0.01	-0.411	0.606	0.006	0.21	0.06	0.14	0.7	0.06	0.32	0.261	0.273	0.005	0.119	0.42	0.008
412.01	5683743	170.3259	0.0009	0.0004	4.1470214	8e-07	9e-07	0.6	0.2	0.2	2.9	0.2	0.3	0.055	0.002	0.002	0.1	0.4	0.4	-0.0	0.3	0.3	0.4	0.4	0.2	0.5	0.3	0.3	0.6	0.07	0.1
421.01	9115800	172.8202	0.0002	0.0002	4.4541944	4e-07	3e-07	0.8	0.2	0.1	3.2	0.2	0.2	0.132	0.002	0.002	0.0	0.1	0.2	0.3	0.2	0.3	0.3	0.5	0.2	0.3	0.4	0.2	0.7	0.2	0.2
607.01	5441980	173.486	0.0001	0.0001	5.8939916	5e-07	5e-07	1.2	0.5	0.2	3.63	0.07	0.06	0.4	0.4	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.4	0.4	0.3	0.09	0.5	0.08	0.3	0.3	0.1
611.01	6309763	171.0606	0.0002	0.0002	3.2516588	3e-07	3e-07	1.2	0.3	0.8	2.94	0.85	0.08	0.3	0.2	0.3	-0.01	0.09	0.09	-0.14	0.25	0.07	0.6	0.3	0.3	0.6	0.4	0.3	0.6	0.3	0.2
728.01	10221013	170.1177	0.0002	0.0004	7.189379	1e-06	2e-06	1.3	0.4	0.5	3.13	0.4	0.07	0.5	0.4	0.4	-0.0	0.1	0.1	-0.17	0.27	0.08	0.6	0.3	0.4	0.2	0.6	0.1	0.4	0.5	0.3
767.01	11414511	170.96772	8e-05	6e-05	2.8165047	1e-07	1e-07	0.49	0.03	0.02	3.16	0.04	0.06	0.1275	0.0007	0.0006	0.0	0.2	0.2	0.0	0.1	0.2	0.25	0.23	0.09	0.4	0.3	0.1	0.61	0.07	0.1
791.01	12644822	180.8924	0.0003	0.0003	12.611903	6e-06	5e-06	0.65	0.05	0.06	2.68	0.07	0.07	0.078	0.002	0.002	0.1	0.1	0.1	0.0	0.2	0.2	0.3	0.4	0.3	0.5	0.3	0.3	0.61	0.09	0.1
797.01	3115833	177.142	0.001	0.0008	10.181584	6e-06	7e-06	1.0	0.7	0.7	2.5	0.8	0.1	0.2	0.6	0.1	0.0	0.2	0.2	-0.1	0.2	0.1	0.6	0.3	0.4	0.2	0.6	0.2	0.8	0.1	0.5
801.01	3351888	170.82664	7e-05	9e-05	1.6255223	1e-07	1e-07	0.29	0.08	0.11	3.06	0.07	0.07	0.0856	0.0007	0.0006	0.1	0.1	0.2	0.0	0.2	0.2	0.8	0.1	0.4	0.4	0.2	0.1	0.64	0.03	0.03
823.01	5115978	170.2294	0.0001	0.0001	1.0284354	1e-07	1e-07	0.76	0.05	0.03	3.0	0.02	0.03	0.28	0.05	0.05	-0.011	0.005	0.006	-0.59	0.02	0.01	0.999	0.001	0.005	0.999	0.001	0.005	0.916	0.003	0.005
830.01	5358624	170.0467	0.0005	0.0004	3.5256325	2e-07	2e-07	0.67	0.03	0.14	3.2	0.3	0.1	0.144	0.001	0.003	-0.8	0.07	0.02	-0.2	0.2	0.2	0.18	0.07	0.05	0.94	0.06	0.34	0.46	0.07	0.07
850.01	6291653	176.5224	0.0001	0.0001	10.526295	2e-06	2e-06	0.59	0.08	0.13	3.6	0.1	0.1	0.097	0.004	0.003	-0.0	0.2	0.2	0.0	0.2	0.2	0.6	0.3	0.4	0.7	0.2	0.3	0.65	0.05	0.03
890.01	7585481	176.6239	0.0002	0.0002	8.098888	2e-06	2e-06	0.2	0.2	0.1	3.04	0.05	0.06	0.0794	0.0008	0.0005	0.0	0.2	0.2	-0.0	0.2	0.2	0.6	0.2	0.2	0.3	0.3	0.2	0.63	0.04	0.05
897.01	7849854	169.89069	8e-05	9e-05	2.0523499	1e-07	1e-07	0.65	0.05	0.11	3.09	0.05	0.08	0.124	0.001	0.005	0.06	0.09	0.08	0.3	0.1	0.1	0.2	0.2	0.1	0.4	0.1	0.2	0.59	0.06	0.09
908.01	8255887	171.4466	0.0001	0.0001	4.7083264	7e-07	7e-07	0.2	0.3	0.1	3.16	0.05	0.14	0.086	0.0042	0.0007	-0.0	0.1	0.1	-0.0	0.2	0.1	0.7	0.2	0.5	0.6	0.2	0.2	0.62	0.03	0.06
913.01	8544996	169.63754	5e-05	4e-05	4.082275	2e-07	2e-07	0.16	0.08	0.09	3.15	0.05	0.04	0.1252	0.0009	0.0008	0.0	0.1	0.2	-0.0	0.2	0.2	0.5	0.2	0.1	0.4	0.3	0.2	0.63	0.04	0.04
929.01	9141746	174.6337	0.0002	0.0002	6.491683	2e-06	2e-06	0.57	0.05	0.06	2.72	0.06	0.06	0.084	0.001	0.001	0.0	0.1	0.1	0.0	0.1	0.1	0.5	0.3	0.3	0.5	0.3	0.2	0.61	0.05	0.04
931.01	9166862	170.6791	0.0007	0.0002	3.8556037	3e-07	3e-07	0.4	0.3	0.1	2.8	0.1	0.3	0.118	0.004	0.001	0.46	0.08	0.13	0.33	0.13	0.05	0.62	0.09	0.16	0.3	0.2	0.2	0.64	0.04	0.05
1066.01	8260218	355.0084	0.0001	0.0002	5.714816	1e-06	1e-06	0.2	0.2	0.1	3.29	0.06	0.1	0.1042	0.0028	0.0009	-0.1	0.2	0.2	-0.0	0.2	0.2	0.7	0.2	0.3	0.4	0.3	0.2	0.61	0.04	0.09
1176.01	3749365	178.97	0.02	0.01	1.976209	2.5e-05	5e-06	0.74	0.02	0.05	2.4	0.23	0.04	0.074	0.003	0.006	0.286	0.007	0.043	0.46	0.02	0.16	0.604	0.008	0.048	0.34	0.07	0.02	0.472	0.004	0.022
1456.01	7832356	360.5141	0.0002	0.0002	7.886634	2e-06	2e-06	0.51	0.04	0.03	2.59	0.04	0.06	0.0777	0.0005	0.0005	0.0	0.1	0.1	-0.0	0.2	0.2	0.5	0.3	0.2	0.2	0.2	0.1	0.63	0.04	0.08
1457.01	9643874	360.1714	0.0002	0.0002	8.027682	2e-06	2e-06	0.69	0.03	0.04	3.12	0.06	0.05	0.097	0.002	0.002	-0.0	0.1	0.1	0.0	0.1	0.2	0.3	0.4	0.2	0.3	0.4	0.2	0.7	0.2	0.5
1541.01	4840513	133.65158	2e-05	2e-05	2.37928181	5e-08	5e-08	0.04	0.04	0.03	2.26	0.01	0.01	0.2145	0.0003	0.0005	-0.01	0.01	0.01	0.767	0.006	0.007	0.5	0.3	0.3	0.015	0.04	0.006	0.76	0.03	0.17
1793.01	5731623	131.7787	0.0005	0.001	3.26176	1e-06	1e-06	1.2	0.5	0.9	2.8	1.0	0.1	0.4	0.4	0.3	-0.1	0.1	0.1	-0.1	0.1	0.1	0.6	0.3	0.3	0.6	0.3	0.4	0.8	0.2	0.4
